Item,Cost,Source
Push Buttons (1000x),12.42,https://www.aliexpress.com/item/33029546857.html?spm=a2g0o.productlist.main.1.46971dfaN8V7SK&algo_pvid=c1a37825-0287-4494-8052-e238e9f9b08e&algo_exp_id=c1a37825-0287-4494-8052-e238e9f9b08e-0&pdp_ext_f=%7B%22order%22%3A%22510%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.65%2111.15%21%21%2111.65%2111.15%21%40212a6e2917736373331913621e485e%2167254270675%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A63e5160c%3Bm03_new_user%3A-29895%3BpisId%3A5000000197242157&curPageLogUid=Apj7tqwX87d2&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A33029546857%7C_p_origin_prod%3A
Perf Board (1x),10.55,https://www.aliexpress.com/item/1005007977139251.html?spm=a2g0o.productlist.main.39.31fe40a5pMVJ6g&algo_pvid=fc70d444-a452-4a59-a420-3af82f960488&algo_exp_id=fc70d444-a452-4a59-a420-3af82f960488-38&pdp_ext_f=%7B%22order%22%3A%22220%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.05%2110.55%21%21%2175.82%2172.39%21%402102f0cc17736374771681451edf0c%2112000043124352438%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A63e5160c%3Bm03_new_user%3A-29895%3BpisId%3A5000000197242157&curPageLogUid=D0iBHlUXi1K2&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007977139251%7C_p_origin_prod%3A
Shrink Tube (1x),7.47,https://www.aliexpress.com/item/4000200124003.html?spm=a2g0o.productlist.main.2.fe7bcb43X55HCe&algo_pvid=bb4bb9c2-53b8-4ad8-9252-aee5263dd33c&algo_exp_id=bb4bb9c2-53b8-4ad8-9252-aee5263dd33c-1&pdp_ext_f=%7B%22order%22%3A%22102%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.17%212.17%21%21%212.17%212.17%21%402102eaa317736378327686229eb0f9%2112000016025965149%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A63e5160c%3Bm03_new_user%3A-29895&curPageLogUid=KCh5gYEvNmAw&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000200124003%7C_p_origin_prod%3A
Breadboard Hard Wires (1x),7.2,https://www.aliexpress.com/item/1005007079142852.html?spm=a2g0o.productlist.main.28.5872fO9RfO9Rdb&aem_p4p_detail=2026031522153111129945877605900000026562&algo_pvid=5361b97e-50f2-4bd8-a821-8cc4d2012949&algo_exp_id=5361b97e-50f2-4bd8-a821-8cc4d2012949-27&pdp_ext_f=%7B%22order%22%3A%221368%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.11%215.61%21%21%2141.96%2138.53%21%40212a6e3217736381317054379e64ec%2112000039331008682%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A63e5160c%3Bm03_new_user%3A-29895%3BpisId%3A5000000197242157&curPageLogUid=fxgxOiej1AmX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007079142852%7C_p_origin_prod%3A&search_p4p_id=2026031522153111129945877605900000026562_7
Male to Female Wires (1x),1.99,https://www.aliexpress.com/item/1005008070896908.html?spm=a2g0o.productlist.main.12.7a3657ddt3dSIi&aem_p4p_detail=202603162119161194990134673450000096209&algo_pvid=65212c4e-21a0-4374-8fd5-3e9fcc00fe19&algo_exp_id=65212c4e-21a0-4374-8fd5-3e9fcc00fe19-11&pdp_ext_f=%7B%22order%22%3A%22191%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.61%211.47%21%21%2111.00%2110.01%21%402102f0c917737211565518733ef9cf%2112000043529084972%21sea%21PK%216163576800%21ABX%211%210%21n_tag%3A-29910%3Bd%3A63e5160c%3Bm03_new_user%3A-29895&curPageLogUid=CrfvSCBDh73F&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008070896908%7C_p_origin_prod%3A&search_p4p_id=202603162119161194990134673450000096209_3
Male to Male Wires (1x),1.99,https://www.aliexpress.com/item/1005008070896908.html?spm=a2g0o.productlist.main.12.7a3657ddt3dSIi&aem_p4p_detail=202603162119161194990134673450000096209&algo_pvid=65212c4e-21a0-4374-8fd5-3e9fcc00fe19&algo_exp_id=65212c4e-21a0-4374-8fd5-3e9fcc00fe19-11&pdp_ext_f=%7B%22order%22%3A%22191%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.61%211.47%21%21%2111.00%2110.01%21%402102f0c917737211565518733ef9cf%2112000043529084972%21sea%21PK%216163576800%21ABX%211%210%21n_tag%3A-29910%3Bd%3A63e5160c%3Bm03_new_user%3A-29895&curPageLogUid=CrfvSCBDh73F&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008070896908%7C_p_origin_prod%3A&search_p4p_id=202603162119161194990134673450000096209_3
Female to Female Wires (1x),1.23,https://www.aliexpress.com/item/1005008070896908.html?spm=a2g0o.productlist.main.12.7a3657ddt3dSIi&aem_p4p_detail=202603162119161194990134673450000096209&algo_pvid=65212c4e-21a0-4374-8fd5-3e9fcc00fe19&algo_exp_id=65212c4e-21a0-4374-8fd5-3e9fcc00fe19-11&pdp_ext_f=%7B%22order%22%3A%22191%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.61%211.47%21%21%2111.00%2110.01%21%402102f0c917737211565518733ef9cf%2112000043529084972%21sea%21PK%216163576800%21ABX%211%210%21n_tag%3A-29910%3Bd%3A63e5160c%3Bm03_new_user%3A-29895&curPageLogUid=CrfvSCBDh73F&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008070896908%7C_p_origin_prod%3A&search_p4p_id=202603162119161194990134673450000096209_3
Female Header Pins (1x),1.99,https://www.aliexpress.com/item/1005010604381492.html?spm=a2g0o.productlist.main.2.d3dahaGOhaGOST&algo_pvid=27dc83bd-0058-4573-8e0d-b4437ff62090&algo_exp_id=27dc83bd-0058-4573-8e0d-b4437ff62090-1&pdp_ext_f=%7B%22order%22%3A%229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2122.31%2110.93%21%21%21153.14%2175.04%21%402101529317736383611998925e457d%2112000052953147251%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A63e5160c%3Bm03_new_user%3A-29895&curPageLogUid=JRoH24hlhWys&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010604381492%7C_p_origin_prod%3A
Male Header Pins (1x),8.52,https://www.aliexpress.com/item/1005005509891182.html?spm=a2g0o.productlist.main.2.cb6aEyOpEyOpi6&algo_pvid=ae08e7a9-fdba-4a93-a65e-7b7b3a85b195&algo_exp_id=ae08e7a9-fdba-4a93-a65e-7b7b3a85b195-1&pdp_ext_f=%7B%22order%22%3A%2286%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.74%212.24%21%21%2118.80%2115.37%21%40212a70c017736385116091370eb642%2112000033357032763%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A63e5160c%3Bm03_new_user%3A-29895%3BpisId%3A5000000197242157&curPageLogUid=7i6Brs3NDOU5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005509891182%7C_p_origin_prod%3A
Taxes,113.62,N/A
Shipping,9.69,N/A
Total,306.16,N/A
